token_id,folio,section,scribe,language_dialect,line_number,line_position,eva_token
1,f2r,Herbal,Scribe 1,Voynich A,1,Start,qoshot89
2,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kory
3,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yaiinr
4,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chol
5,f2r,Herbal,Scribe 1,Voynich A,1,Middle,arn
6,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shokon
7,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yoty
8,f2r,Herbal,Scribe 1,Voynich A,1,End,koksdy
9,f2r,Herbal,Scribe 1,Voynich A,1,Start,dchaln
10,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kolin
11,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oor
12,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kaur
13,f2r,Herbal,Scribe 1,Voynich A,1,Middle,olr
14,f2r,Herbal,Scribe 1,Voynich A,1,Middle,aiinin
15,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dar
16,f2r,Herbal,Scribe 1,Voynich A,1,End,qoamy
17,f2r,Herbal,Scribe 1,Voynich A,1,Start,kamon
18,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qotain
19,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ye
20,f2r,Herbal,Scribe 1,Voynich A,1,Middle,tokdy
21,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chamon
22,f2r,Herbal,Scribe 1,Voynich A,1,Middle,am9
23,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chor
24,f2r,Herbal,Scribe 1,Voynich A,1,End,al
25,f2r,Herbal,Scribe 1,Voynich A,1,Start,oiinin
26,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ooln
27,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dolon
28,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chora
29,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shot89
30,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ams
31,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yolm
32,f2r,Herbal,Scribe 1,Voynich A,1,End,keedm
33,f2r,Herbal,Scribe 1,Voynich A,1,Start,tors
34,f2r,Herbal,Scribe 1,Voynich A,1,Middle,doks
35,f2r,Herbal,Scribe 1,Voynich A,1,Middle,calm
36,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yorr
37,f2r,Herbal,Scribe 1,Voynich A,1,Middle,tok89
